,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,time_cat,juris,officer_id,reporting_district,beat_number,primary_rd,secondary_rd,distance,direction,weather_1,weather_2,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,intersection,vz_pcf_code,vz_pcf_group,vz_pcf_description,vz_pcf_link,number_killed,number_injured,street_view,dph_col_grp,dph_col_grp_description,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,data_as_of,data_updated_at,data_loaded_at,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
10,52962,23555000,191101.0,200325422,37.7573355575,-122.388164094,SFPD-INTERIM DB,CITY STREET,2020-05-29T16:52:00.000,2020-05-29T00:00:00.000,16:52:00,2020,May,Friday,2:01 pm to 6:00 pm,3801,1858,Bayview,3C11D,03RD ST,22ND ST,228.0,South,Clear,Not Stated,Injury (Other Visible),Not Stated,Non-Collision,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Midblock > 20ft,Other Than Driver,Other Than Driver,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7573355575,-122.388164094",AA,Vehicle(s) Only Involved,,Driver,South,Proceeding Straight,,,,POINT (-122.38816 37.757336),2020-06-04T00:00:00.000,2023-04-06T00:00:00.000,2023-07-29T03:30:14.844,55.0,55.0,2.0,9.0,26.0
11,31394,26634000,,5545067,37.7875325028685,-122.436935447459,SFPD-CROSSROADS,CITY STREET,2012-01-28T14:38:00.000,2012-01-28T00:00:00.000,14:38:00,2012,January,Saturday,2:01 pm to 6:00 pm,3801,1819,RICHM,3E68,PINE ST,PIERCE ST,0.0,Not Stated,Clear,Not Stated,Injury (Other Visible),Broadside,Other Motor Vehicle,"In Road, Including Shoulder",Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7875325028685,-122.436935447459",BB,Vehicle-Pedestrian,1.0,Driver,North,Proceeding Straight,Driver,West,Proceeding Straight,POINT (-122.436935 37.787533),2012-01-28T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.868,103.0,103.0,4.0,11.0,30.0
12,9271,23673000,,130406423,37.7653067250134,-122.393847983028,SFPD-CROSSROADS,CITY STREET,2013-05-17T14:55:00.000,2013-05-17T00:00:00.000,14:55:00,2013,May,Friday,2:01 pm to 6:00 pm,3801,1030,MISSION,3D11D,17TH ST,PENNSYLVANIA AVE,0.0,Not Stated,Not Stated,Not Stated,Injury (Other Visible),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7653067250134,-122.393847983028",CC,Vehicle-Bicycle,,Bicyclist,East,Not Stated,Driver,West,Not Stated,POINT (-122.393845 37.76531),2013-05-17T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.904,34.0,34.0,1.0,9.0,26.0
13,24230,24326000,6259000.0,5386377,37.782143631584,-122.411667252809,SFPD-CROSSROADS,CITY STREET,2011-10-20T16:54:00.000,2011-10-20T00:00:00.000,16:54:00,2011,October,Thursday,2:01 pm to 6:00 pm,3801,1633,,1CAR,GOLDEN GATE AVE,JONES ST,162.0,East,Clear,Not Stated,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Midblock > 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.782143631584,-122.411667252809",CC,Vehicle-Bicycle,,Bicyclist,East,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.41167 37.782143),2011-10-20T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.946,20.0,20.0,5.0,10.0,36.0
14,28463,24781000,,170223685,37.7951444647793,-122.406475551569,SFPD-CROSSROADS,CITY STREET,2017-03-18T14:29:00.000,2017-03-18T00:00:00.000,14:29:00,2017,March,Saturday,2:01 pm to 6:00 pm,3801,1362,CENTRAL,3A14B,WASHINGTON ST,GRANT AVE,0.0,Not Stated,Clear,Not Stated,Injury (Other Visible),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7951444647793,-122.406475551569",BB,Vehicle-Pedestrian,,Driver,West,Proceeding Straight,Pedestrian,South,Not Stated,POINT (-122.40648 37.795143),2017-03-18T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.962,104.0,104.0,6.0,3.0,6.0
15,439,20410000,13331000.0,130384415,37.7132570750872,-122.414407112904,SFPD-CROSSROADS,CITY STREET,2013-05-10T14:53:00.000,2013-05-10T00:00:00.000,14:53:00,2013,May,Friday,2:01 pm to 6:00 pm,3801,1939,INGLESIDE,4B2H,VISITACION AVE,SAWYER ST,11.0,West,Clear,Not Stated,Injury (Other Visible),Head-On,Other Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7132570750872,-122.414407112904",AA,Vehicle(s) Only Involved,1.0,Driver,North,Making Left Turn,Driver,East,Stopped In Road,POINT (-122.414406 37.713257),2013-05-10T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:15.069,75.0,75.0,9.0,9.0,40.0
16,29244,25190000,13151201.0,130517688,37.7838905429476,-122.420977495581,SFPD-CROSSROADS,CITY STREET,2013-06-24T09:15:00.000,2013-06-24T00:00:00.000,09:15:00,2013,June,Monday,6:01 am to 10:00 am,3801,1819,NORTHERN,3E68,VAN NESS AVE,ELLIS ST,30.0,North,Clear,Not Stated,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Midblock > 20ft,Unknown,Unknown,Unknown,Not Stated,0,2,"https://maps.google.com/maps?q=&layer=c&cbll=37.7838905429476,-122.420977495581",AA,Vehicle(s) Only Involved,,Driver,North,Proceeding Straight,,,,POINT (-122.420975 37.78389),2013-06-24T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:15.125,20.0,20.0,4.0,10.0,36.0
17,53726,23834000,,200408222,37.7795669102,-122.39805994,SFPD-INTERIM DB,CITY STREET,2020-07-08T08:55:00.000,2020-07-08T00:00:00.000,08:55:00,2020,July,Wednesday,6:01 am to 10:00 am,3801,1396,Southern,3B12A,04TH ST,BRYANT ST,0.0,Not Stated,Clear,Not Stated,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,Dry,"Holes, Deep Rut",Not Stated,Daylight,Functioning,Intersection <= 20ft,Other Than Driver,Other Than Driver,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7795669102,-122.39805994",AA,Vehicle(s) Only Involved,,Driver,East,Proceeding Straight,,,,POINT (-122.39806 37.779568),2020-07-14T00:00:00.000,2023-04-06T00:00:00.000,2023-07-29T03:30:15.171,32.0,32.0,1.0,10.0,34.0
18,13674,24237000,,180939907,37.7700517194,-122.413046079,SFPD-INTERIM DB,CITY STREET,2018-12-13T14:30:00.000,2018-12-13T00:00:00.000,14:30:00,2018,December,Thursday,2:01 pm to 6:00 pm,3801,2211,Mission,3D11D,HARRISON ST,12TH ST,0.0,Not Stated,Not Stated,Not Stated,Injury (Complaint of Pain),Other,Non-Collision,No Pedestrian Involved,Dry,Loose Material on Roadway,Construction or Repair Zone,Daylight,,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7700517194,-122.413046079",FF,Bicycle Only,,Bicyclist,East,Proceeding Straight,,,,POINT (-122.41305 37.77005),2019-01-15T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:15.176,32.0,32.0,1.0,10.0,20.0
19,52336,21491000,8506000.0,200125363,37.7090203272,-122.445075144,SFPD-INTERIM DB,CITY STREET,2020-02-19T08:45:00.000,2020-02-19T00:00:00.000,08:45:00,2020,February,Wednesday,6:01 am to 10:00 am,3801,995,Ingleside,3H15A,LOWELL ST,HANOVER ST,173.0,West,Clear,Not Stated,Injury (Other Visible),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Midblock > 20ft,Unknown,Unknown,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7090203272,-122.445075144",AA,Vehicle(s) Only Involved,,Driver,West,Proceeding Straight,Parked Vehicle,West,Parked,POINT (-122.445076 37.70902),2020-03-04T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:15.265,58.0,58.0,9.0,1.0,7.0
20,53672,27989000,2018000.0,200548618,37.7752388538,-122.506954828,SFPD-INTERIM DB,CITY STREET,2020-09-11T23:04:00.000,2020-09-11T00:00:00.000,23:04:00,2020,September,Friday,10:01 pm to 2:00 am,3801,327,Richmond,3G14E,46TH AVE,BALBOA ST,13.0,South,Fog,Not Stated,Injury (Complaint of Pain),Head-On,Fixed Object,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Intersection <= 20ft,22350,22350,Unsafe speed for prevailing conditions,http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22350,0,3,"https://maps.google.com/maps?q=&layer=c&cbll=37.7752388538,-122.506954828",AA,Vehicle(s) Only Involved,1.0,Driver,East,Other,,,,POINT (-122.50696 37.775238),2020-10-27T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:16.605,8.0,8.0,8.0,4.0,29.0
21,53721,27966000,7549000.0,200562301,37.7704359668,-122.51089137,SFPD-INTERIM DB,CITY STREET,2020-09-18T09:49:00.000,2020-09-18T00:00:00.000,09:49:00,2020,September,Friday,6:01 am to 10:00 am,3801,1725,Richmond,3G1A,JOHN F KENNEDY DR,GREAT HWY,10.0,East,Clear,Not Stated,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,Wet,No Unusual Condition,Not Stated,Daylight,,Intersection <= 20ft,Other Improper Driving,Other Than Driver,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7704359668,-122.51089137",FF,Bicycle Only,,Bicyclist,West,Making Left Turn,,,,POINT (-122.510895 37.770435),2020-10-27T00:00:00.000,2023-04-06T00:00:00.000,2023-07-29T03:30:16.618,9.0,9.0,8.0,4.0,12.0
22,53718,24925000,12427000.0,200585933,37.7839377898,-122.410910656,SFPD-INTERIM DB,CITY STREET,2020-09-29T09:40:00.000,2020-09-29T00:00:00.000,09:40:00,2020,September,Tuesday,6:01 am to 10:00 am,3801,4357,Tenderloin,4,TAYLOR ST,EDDY ST,75.0,South,Clear,Not Stated,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Intersection Rear End <= 150ft,Other Than Driver,Other Than Driver,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7839377898,-122.410910656",AA,Vehicle(s) Only Involved,,Driver,East,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.41091 37.78394),2020-10-05T00:00:00.000,2023-04-06T00:00:00.000,2023-07-29T03:30:16.655,20.0,20.0,5.0,10.0,36.0
23,53959,24572000,,200627262,37.7966828955,-122.39540527,SFPD-INTERIM DB,CITY STREET,2020-10-18T19:10:00.000,2020-10-18T00:00:00.000,19:10:00,2020,October,Sunday,6:01 pm to 10:00 pm,3801,1817,Central,3A13C,THE EMBARCADERO,WASHINGTON ST,0.0,Not Stated,Clear,Not Stated,Injury (Other Visible),Vehicle/Pedestrian,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,,Intersection <= 20ft,Unknown,Unknown,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7966828955,-122.39540527",CC,Vehicle-Bicycle,,Driver,West,Proceeding Straight,Bicyclist,Not Stated,Proceeding Straight,POINT (-122.39541 37.796684),2020-10-21T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:16.729,77.0,77.0,6.0,3.0,8.0
24,54003,20364000,2445000.0,200639029,37.7143110657,-122.408277435,SFPD-INTERIM DB,CITY STREET,2020-10-22T20:15:00.000,2020-10-22T00:00:00.000,20:15:00,2020,October,Thursday,6:01 pm to 10:00 pm,3801,1374,Ingleside,3H15E,ARLETA AVE,DELTA ST,189.0,East,Clear,Not Stated,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,,Midblock > 20ft,21750,21750,Overtaking and passing unsafely,http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21750,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7143110657,-122.408277435",AA,Vehicle(s) Only Involved,1.0,Driver,East,Other,Driver,East,Proceeding Straight,POINT (-122.40828 37.71431),2020-10-27T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:16.757,75.0,75.0,9.0,9.0,40.0
25,5853,20812000,2734000.0,3724699,37.7445916305843,-122.403027515389,SFPD-CROSSROADS,CITY STREET,2008-03-22T17:02:00.000,2008-03-22T00:00:00.000,17:02:00,2008,March,Saturday,2:01 pm to 6:00 pm,3801,1119,,BC12C,BARNEVELD AVE,MCKINNON AVE,297.0,North,Clear,Not Stated,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Midblock > 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7445916305843,-122.403027515389",AA,Vehicle(s) Only Involved,1.0,Driver,North,Proceeding Straight,Driver,North,Stopped In Road,POINT (-122.40303 37.74459),2008-03-22T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:17.871,85.0,85.0,2.0,9.0,1.0
26,57618,26811000,,220113279,37.782885337,-122.4427931,SFPD-INTERIM DB,CITY STREET,2022-02-18T22:16:00.000,2022-02-18T00:00:00.000,22:16:00,2022,February,Friday,10:01 pm to 2:00 am,3801,1144,Richmond,3G12E,GEARY BLVD,SAINT JOSEPHS AVE,0.0,Not Stated,Clear,Not Stated,Injury (Complaint of Pain),Hit Object,Non-Collision,"In Road, Including Shoulder",Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Intersection <= 20ft,Other Improper Driving,,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.782885337,-122.4427931",GG,Pedestrian Only or Pedestrian-Parked Car,,Pedestrian,East,Proceeding Straight,,,,POINT (-122.442795 37.782887),2022-05-03T00:00:00.000,2023-04-06T00:00:00.000,2023-07-29T03:30:17.898,103.0,103.0,8.0,6.0,31.0
27,55178,23535000,,210280769,37.7502633777,-122.38758527,SFPD-INTERIM DB,CITY STREET,2021-05-07T18:21:00.000,2021-05-07T00:00:00.000,18:21:00,2021,May,Friday,6:01 pm to 10:00 pm,3801,2745,Bayview,3C11D,03RD ST,CESAR CHAVEZ ST,0.0,Not Stated,Clear,Not Stated,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,2,"https://maps.google.com/maps?q=&layer=c&cbll=37.7502633777,-122.38758527",AA,Vehicle(s) Only Involved,,Driver,South,Proceeding Straight,Driver,West,Making Left Turn,POINT (-122.38759 37.750263),2021-05-17T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:17.939,56.0,56.0,2.0,9.0,1.0
28,55050,26614000,,210398453,37.7849440071,-122.434729991,SFPD-INTERIM DB,CITY STREET,2021-06-24T18:45:00.000,2021-06-24T00:00:00.000,18:45:00,2021,June,Thursday,6:01 pm to 10:00 pm,3801,2044,Southern,3B13D,POST ST,STEINER ST,0.0,Not Stated,Clear,Not Stated,Injury (Other Visible),Not Stated,Non-Collision,No Pedestrian Involved,Dry,Obstruction on Roadway,Not Stated,Daylight,,Intersection <= 20ft,Other Than Driver,,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7849440071,-122.434729991",FF,Bicycle Only,,Bicyclist,East,Proceeding Straight,,,,POINT (-122.43473 37.784943),2021-07-20T00:00:00.000,2023-04-06T00:00:00.000,2023-07-29T03:30:17.955,103.0,103.0,4.0,11.0,15.0
29,52342,23888000,,200178691,37.7773719956,-122.399762585,SFPD-INTERIM DB,CITY STREET,2020-03-10T18:22:00.000,2020-03-10T00:00:00.000,18:22:00,2020,March,Tuesday,6:01 pm to 10:00 pm,3801,887,Southern,B2,WELSH ST,05TH ST,0.0,Not Stated,Clear,Not Stated,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not in Road,Dry,No Unusual Condition,Not Stated,Daylight,,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7773719956,-122.399762585",BB,Vehicle-Pedestrian,,Driver,West,Proceeding Straight,Pedestrian,West,Other,POINT (-122.399765 37.77737),2020-03-11T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:17.991,32.0,32.0,1.0,10.0,34.0
